trial,mass,velocity
A,-46.44285714,-9.838095238
B,-46.88571429,-10.00952381
B,-47.32857143,-10.18095238
A,-47.77142857,-10.35238095
B,-48.21428571,-10.52380952
A,-48.65714286,-10.6952381
A,-49.1,-10.86666667
B,-49.54285714,-11.03809524
B,-49.98571429,-11.20952381
A,-50.42857143,-11.38095238
B,-50.87142857,-11.55238095
A,-51.31428571,-11.72380952
A,-51.75714286,-11.8952381
B,-52.2,-12.06666667
B,-52.64285714,-12.23809524
A,-53.08571429,-12.40952381
B,-53.52857143,-12.58095238
A,-53.97142857,-12.75238095
A,-54.41428571,-12.92380952
B,-54.85714286,-13.0952381
B,-55.3,-13.26666667
A,-55.74285714,-13.43809524
B,-56.18571429,-13.60952381
A,-56.62857143,-13.78095238
A,-57.07142857,-13.95238095
A,-57.51428571,-14.12380952
B,-57.95714286,-14.2952381
B,-58.4,-14.46666667
A,-58.84285714,-14.63809524
B,-59.28571429,-14.80952381
A,-59.72857143,-14.98095238
A,-60.17142857,-15.15238095
B,-60.61428571,-15.32380952
B,-61.05714286,-15.4952381
A,-61.5,-15.66666667
B,-61.94285714,-15.83809524
A,-62.38571429,-16.00952381
A,-62.82857143,-16.18095238
B,-63.27142857,-16.35238095
B,-63.71428571,-16.52380952
A,-64.15714286,-16.6952381
B,-64.6,-16.86666667
A,-65.04285714,-17.03809524
A,-65.48571429,-17.20952381
B,-65.92857143,-17.38095238
B,-66.37142857,-17.55238095
A,-66.81428571,-17.72380952
B,-67.25714286,-17.8952381
A,-67.7,-18.06666667
A,-68.14285714,-18.23809524
A,-68.58571429,-18.40952381
B,-69.02857143,-18.58095238
B,-69.47142857,-18.75238095
A,-69.91428571,-18.92380952
B,-70.35714286,-19.0952381
A,-70.8,-19.26666667
A,-71.24285714,-19.43809524
B,-71.68571429,-19.60952381
B,-72.12857143,-19.78095238
A,-72.57142857,-19.95238095
B,-73.01428571,-20.12380952
A,-73.45714286,-20.2952381
A,-73.9,-20.46666667
B,-74.34285714,-20.63809524
B,-74.78571429,-20.80952381
A,-75.22857143,-20.98095238
B,-75.67142857,-21.15238095
A,-76.11428571,-21.32380952
A,-76.55714286,-21.4952381
B,-77,-21.66666667
B,-77.44285714,-21.83809524
A,-77.88571429,-22.00952381
B,-78.32857143,-22.18095238
A,-78.77142857,-22.35238095
A,-79.21428571,-22.52380952
A,-79.65714286,-22.6952381
B,-80.1,-22.86666667
B,-80.54285714,-23.03809524
A,-80.98571429,-23.20952381
B,-81.42857143,-23.38095238
A,-81.87142857,-23.55238095
A,-82.31428571,-23.72380952
B,-82.75714286,-23.8952381
B,-83.2,-24.06666667
A,-83.64285714,-24.23809524
B,-84.08571429,-24.40952381
A,-84.52857143,-24.58095238
A,-84.97142857,-24.75238095
B,-85.41428571,-24.92380952
B,-85.85714286,-25.0952381
A,-86.3,-25.26666667
B,-86.74285714,-25.43809524
A,-87.18571429,-25.60952381
A,-87.62857143,-25.78095238
B,-88.07142857,-25.95238095
B,-88.51428571,-26.12380952
A,-88.95714286,-26.2952381
B,-89.4,-26.46666667
A,-89.84285714,-26.63809524
A,-90.28571429,-26.80952381
A,-90.72857143,-26.98095238
B,-91.17142857,-27.15238095
B,-91.61428571,-27.32380952
A,-92.05714286,-27.4952381
B,-92.5,-27.66666667
A,-92.94285714,-27.83809524
A,-93.38571429,-28.00952381
B,-93.82857143,-28.18095238
B,-94.27142857,-28.35238095
A,-94.71428571,-28.52380952
B,-95.15714286,-28.6952381
A,-95.6,-28.86666667
A,-96.04285714,-29.03809524
B,-96.48571429,-29.20952381
B,-96.92857143,-29.38095238
A,-97.37142857,-29.55238095
B,-97.81428571,-29.72380952
A,-98.25714286,-29.8952381
A,-98.7,-30.06666667
B,-99.14285714,-30.23809524
B,-99.58571429,-30.40952381
A,-100.0285714,-30.58095238
B,-100.4714286,-30.75238095
A,-100.9142857,-30.92380952
A,-101.3571429,-31.0952381
A,-101.8,-31.26666667
B,-102.2428571,-31.43809524
B,-102.6857143,-31.60952381
A,-103.1285714,-31.78095238
B,-103.5714286,-31.95238095
A,-104.0142857,-32.12380952
A,-104.4571429,-32.2952381
B,-104.9,-32.46666667
B,-105.3428571,-32.63809524
A,-105.7857143,-32.80952381
B,-106.2285714,-32.98095238
A,-106.6714286,-33.15238095
A,-107.1142857,-33.32380952
B,-107.5571429,-33.4952381
B,-108,-33.66666667
A,-108.4428571,-33.83809524
B,-108.8857143,-34.00952381
A,-109.3285714,-34.18095238
A,-109.7714286,-34.35238095
B,-110.2142857,-34.52380952
B,-110.6571429,-34.6952381
A,-111.1,-34.86666667
B,-111.5428571,-35.03809524
A,-111.9857143,-35.20952381
A,-112.4285714,-35.38095238
A,-112.8714286,-35.55238095
B,-113.3142857,-35.72380952
B,-113.7571429,-35.8952381
A,-114.2,-36.06666667
B,-114.6428571,-36.23809524
A,-115.0857143,-36.40952381
A,-115.5285714,-36.58095238
B,-115.9714286,-36.75238095
B,-116.4142857,-36.92380952
A,-116.8571429,-37.0952381
B,-117.3,-37.26666667
A,-117.7428571,-37.43809524
A,-118.1857143,-37.60952381
B,-118.6285714,-37.78095238
B,-119.0714286,-37.95238095
A,-119.5142857,-38.12380952
B,-119.9571429,-38.2952381
A,-120.4,-38.46666667
A,-120.8428571,-38.63809524
B,-121.2857143,-38.80952381
B,-121.7285714,-38.98095238
A,-122.1714286,-39.15238095
B,-122.6142857,-39.32380952
A,-123.0571429,-39.4952381
A,-123.5,-39.66666667
A,-123.9428571,-39.83809524
B,-124.3857143,-40.00952381
B,-124.8285714,-40.18095238
A,-125.2714286,-40.35238095
B,-125.7142857,-40.52380952
A,-126.1571429,-40.6952381
A,-126.6,-40.86666667
B,-127.0428571,-41.03809524
B,-127.4857143,-41.20952381
A,-127.9285714,-41.38095238
B,-128.3714286,-41.55238095
A,-128.8142857,-41.72380952
A,-129.2571429,-41.8952381
B,-129.7,-42.06666667
B,-130.1428571,-42.23809524
A,-130.5857143,-42.40952381
B,-131.0285714,-42.58095238
A,-131.4714286,-42.75238095
A,-131.9142857,-42.92380952
B,-132.3571429,-43.0952381
B,-132.8,-43.26666667
A,-133.2428571,-43.43809524
B,-133.6857143,-43.60952381
A,-134.1285714,-43.78095238
A,-134.5714286,-43.95238095
A,-135.0142857,-44.12380952
B,-135.4571429,-44.2952381
B,-135.9,-44.46666667
A,-136.3428571,-44.63809524
B,-136.7857143,-44.80952381
A,-137.2285714,-44.98095238
A,-137.6714286,-45.15238095
B,-138.1142857,-45.32380952
B,-138.5571429,-45.4952381
A,-139,-45.66666667
B,-139.4428571,-45.83809524
A,-139.8857143,-46.00952381
A,-140.3285714,-46.18095238
B,-140.7714286,-46.35238095
B,-141.2142857,-46.52380952
A,-141.6571429,-46.6952381
B,-142.1,-46.86666667
A,-142.5428571,-47.03809524
A,-142.9857143,-47.20952381
B,-143.4285714,-47.38095238
B,-143.8714286,-47.55238095
A,-144.3142857,-47.72380952
B,-144.7571429,-47.8952381
A,-145.2,-48.06666667
A,-145.6428571,-48.23809524
A,-146.0857143,-48.40952381
B,-146.5285714,-48.58095238
B,-146.9714286,-48.75238095
A,-147.4142857,-48.92380952
B,-147.8571429,-49.0952381
A,-148.3,-49.26666667
A,-148.7428571,-49.43809524
B,-149.1857143,-49.60952381
B,-149.6285714,-49.78095238
A,-150.0714286,-49.95238095
B,-150.5142857,-50.12380952
A,-150.9571429,-50.2952381
A,-151.4,-50.46666667
B,-151.8428571,-50.63809524
B,-152.2857143,-50.80952381
A,-152.7285714,-50.98095238
B,-153.1714286,-51.15238095
A,-153.6142857,-51.32380952
A,-154.0571429,-51.4952381
B,-154.5,-51.66666667
B,-154.9428571,-51.83809524
A,-155.3857143,-52.00952381
B,-155.8285714,-52.18095238
A,-156.2714286,-52.35238095
A,-156.7142857,-52.52380952
A,-157.1571429,-52.6952381
B,-157.6,-52.86666667
B,-158.0428571,-53.03809524
A,-158.4857143,-53.20952381
B,-158.9285714,-53.38095238
A,-159.3714286,-53.55238095
A,-159.8142857,-53.72380952
B,-160.2571429,-53.8952381
B,-160.7,-54.06666667
A,-161.1428571,-54.23809524
B,-161.5857143,-54.40952381
A,-162.0285714,-54.58095238
A,-162.4714286,-54.75238095
B,-162.9142857,-54.92380952
B,-163.3571429,-55.0952381
A,-163.8,-55.26666667
B,-164.2428571,-55.43809524
A,-164.6857143,-55.60952381
A,-165.1285714,-55.78095238
B,-165.5714286,-55.95238095
B,-166.0142857,-56.12380952
A,-166.4571429,-56.2952381
B,-166.9,-56.46666667
A,-167.3428571,-56.63809524
A,-167.7857143,-56.80952381
A,-168.2285714,-56.98095238
B,-168.6714286,-57.15238095
B,-169.1142857,-57.32380952
A,-169.5571429,-57.4952381
B,-170,-57.66666667
A,-170.4428571,-57.83809524
A,-170.8857143,-58.00952381
B,-171.3285714,-58.18095238
B,-171.7714286,-58.35238095
A,-172.2142857,-58.52380952
B,-172.6571429,-58.6952381
A,-173.1,-58.86666667
A,-173.5428571,-59.03809524
B,-173.9857143,-59.20952381
B,-174.4285714,-59.38095238
A,-174.8714286,-59.55238095
B,-175.3142857,-59.72380952
A,-175.7571429,-59.8952381
A,-176.2,-60.06666667
B,-176.6428571,-60.23809524
B,-177.0857143,-60.40952381
A,-177.5285714,-60.58095238
B,-177.9714286,-60.75238095
A,-178.4142857,-60.92380952
A,-178.8571429,-61.0952381
A,-179.3,-61.26666667
B,-179.7428571,-61.43809524
B,-180.1857143,-61.60952381
A,-180.6285714,-61.78095238
B,-181.0714286,-61.95238095
A,-181.5142857,-62.12380952
A,-181.9571429,-62.2952381
B,-182.4,-62.46666667
B,-182.8428571,-62.63809524
A,-183.2857143,-62.80952381
B,-183.7285714,-62.98095238
A,-184.1714286,-63.15238095
A,-184.6142857,-63.32380952
B,-185.0571429,-63.4952381
B,-185.5,-63.66666667
A,-185.9428571,-63.83809524
B,-186.3857143,-64.00952381
A,-186.8285714,-64.18095238
A,-187.2714286,-64.35238095
B,-187.7142857,-64.52380952
B,-188.1571429,-64.6952381
A,-188.6,-64.86666667
B,-189.0428571,-65.03809524
A,-189.4857143,-65.20952381
A,-189.9285714,-65.38095238
A,-190.3714286,-65.55238095
B,-190.8142857,-65.72380952
B,-191.2571429,-65.8952381
A,-191.7,-66.06666667
B,-192.1428571,-66.23809524
A,-192.5857143,-66.40952381
A,-193.0285714,-66.58095238
B,-193.4714286,-66.75238095
B,-193.9142857,-66.92380952
A,-194.3571429,-67.0952381
B,-194.8,-67.26666667
A,-195.2428571,-67.43809524
A,-195.6857143,-67.60952381
B,-196.1285714,-67.78095238
B,-196.5714286,-67.95238095
A,-197.0142857,-68.12380952
B,-197.4571429,-68.2952381
A,-197.9,-68.46666667
A,-198.3428571,-68.63809524
B,-198.7857143,-68.80952381
B,-199.2285714,-68.98095238
A,-199.6714286,-69.15238095
B,-200.1142857,-69.32380952
A,-200.5571429,-69.4952381
A,-201,-69.66666667
A,-201.4428571,-69.83809524
B,-201.8857143,-70.00952381
B,-202.3285714,-70.18095238
A,-202.7714286,-70.35238095
B,-203.2142857,-70.52380952
A,-203.6571429,-70.6952381
A,-204.1,-70.86666667
B,-204.5428571,-71.03809524
B,-204.9857143,-71.20952381
A,-205.4285714,-71.38095238
B,-205.8714286,-71.55238095
A,-206.3142857,-71.72380952
A,-206.7571429,-71.8952381
B,-207.2,-72.06666667
B,-207.6428571,-72.23809524
A,-208.0857143,-72.40952381
B,-208.5285714,-72.58095238
A,-208.9714286,-72.75238095
A,-209.4142857,-72.92380952
B,-209.8571429,-73.0952381
B,-210.3,-73.26666667
A,-210.7428571,-73.43809524
B,-211.1857143,-73.60952381
A,-211.6285714,-73.78095238
A,-212.0714286,-73.95238095
A,-212.5142857,-74.12380952
B,-212.9571429,-74.2952381
B,-213.4,-74.46666667
A,-213.8428571,-74.63809524
B,-214.2857143,-74.80952381
A,-214.7285714,-74.98095238
A,-215.1714286,-75.15238095
B,-215.6142857,-75.32380952
B,-216.0571429,-75.4952381
A,-216.5,-75.66666667
B,-216.9428571,-75.83809524
A,-217.3857143,-76.00952381
A,-217.8285714,-76.18095238
B,-218.2714286,-76.35238095
B,-218.7142857,-76.52380952
A,-219.1571429,-76.6952381
B,-219.6,-76.86666667
A,-220.0428571,-77.03809524
A,-220.4857143,-77.20952381
B,-220.9285714,-77.38095238
B,-221.3714286,-77.55238095
A,-221.8142857,-77.72380952
B,-222.2571429,-77.8952381
A,-222.7,-78.06666667
A,-223.1428571,-78.23809524
A,-223.5857143,-78.40952381
B,-224.0285714,-78.58095238
B,-224.4714286,-78.75238095
A,-224.9142857,-78.92380952
B,-225.3571429,-79.0952381
A,-225.8,-79.26666667
A,-226.2428571,-79.43809524
B,-226.6857143,-79.60952381
B,-227.1285714,-79.78095238
A,-227.5714286,-79.95238095
B,-228.0142857,-80.12380952
A,-228.4571429,-80.2952381
A,-228.9,-80.46666667
B,-229.3428571,-80.63809524
B,-229.7857143,-80.80952381
A,-230.2285714,-80.98095238
B,-230.6714286,-81.15238095
A,-231.1142857,-81.32380952
A,-231.5571429,-81.4952381
B,-232,-81.66666667
B,-232.4428571,-81.83809524
A,-232.8857143,-82.00952381
B,-233.3285714,-82.18095238
A,-233.7714286,-82.35238095
A,-234.2142857,-82.52380952
A,-234.6571429,-82.6952381
B,-235.1,-82.86666667
B,-235.5428571,-83.03809524
A,-235.9857143,-83.20952381
B,-236.4285714,-83.38095238
A,-236.8714286,-83.55238095
A,-237.3142857,-83.72380952
B,-237.7571429,-83.8952381
B,-238.2,-84.06666667
A,-238.6428571,-84.23809524
B,-239.0857143,-84.40952381
A,-239.5285714,-84.58095238
A,-239.9714286,-84.75238095
B,-240.4142857,-84.92380952
B,-240.8571429,-85.0952381
A,-241.3,-85.26666667
B,-241.7428571,-85.43809524
A,-242.1857143,-85.60952381
A,-242.6285714,-85.78095238
B,-243.0714286,-85.95238095
B,-243.5142857,-86.12380952
A,-243.9571429,-86.2952381
B,-244.4,-86.46666667
A,-244.8428571,-86.63809524
A,-245.2857143,-86.80952381
A,-245.7285714,-86.98095238
B,-246.1714286,-87.15238095
B,-246.6142857,-87.32380952
A,-247.0571429,-87.4952381
B,-247.5,-87.66666667
A,-247.9428571,-87.83809524
A,-248.3857143,-88.00952381
B,-248.8285714,-88.18095238
B,-249.2714286,-88.35238095
A,-249.7142857,-88.52380952
B,-250.1571429,-88.6952381
A,-250.6,-88.86666667
A,-251.0428571,-89.03809524
B,-251.4857143,-89.20952381
B,-251.9285714,-89.38095238
A,-252.3714286,-89.55238095
B,-252.8142857,-89.72380952
A,-253.2571429,-89.8952381
A,-253.7,-90.06666667
B,-254.1428571,-90.23809524
B,-254.5857143,-90.40952381
A,-255.0285714,-90.58095238
B,-255.4714286,-90.75238095
A,-255.9142857,-90.92380952
A,-256.3571429,-91.0952381
A,-256.8,-91.26666667
B,-257.2428571,-91.43809524
B,-257.6857143,-91.60952381
A,-258.1285714,-91.78095238
B,-258.5714286,-91.95238095
A,-259.0142857,-92.12380952
A,-259.4571429,-92.2952381
B,-259.9,-92.46666667
B,-260.3428571,-92.63809524
A,-260.7857143,-92.80952381
B,-261.2285714,-92.98095238
A,-261.6714286,-93.15238095
A,-262.1142857,-93.32380952
B,-262.5571429,-93.4952381
B,-263,-93.66666667
A,-263.4428571,-93.83809524
B,-263.8857143,-94.00952381
A,-264.3285714,-94.18095238
A,-264.7714286,-94.35238095
B,-265.2142857,-94.52380952
B,-265.6571429,-94.6952381
A,-266.1,-94.86666667
B,-266.5428571,-95.03809524
A,-266.9857143,-95.20952381
A,-267.4285714,-95.38095238
A,-267.8714286,-95.55238095
B,-268.3142857,-95.72380952
B,-268.7571429,-95.8952381
A,-269.2,-96.06666667
B,-269.6428571,-96.23809524
A,-270.0857143,-96.40952381
A,-270.5285714,-96.58095238
B,-270.9714286,-96.75238095
B,-271.4142857,-96.92380952
A,-271.8571429,-97.0952381
B,-272.3,-97.26666667
A,-272.7428571,-97.43809524
A,-273.1857143,-97.60952381
B,-273.6285714,-97.78095238
B,-274.0714286,-97.95238095
A,-274.5142857,-98.12380952
B,-274.9571429,-98.2952381
A,-275.4,-98.46666667
A,-275.8428571,-98.63809524
B,-276.2857143,-98.80952381
B,-276.7285714,-98.98095238
A,-277.1714286,-99.15238095
B,-277.6142857,-99.32380952
A,-278.0571429,-99.4952381
A,-278.5,-99.66666667
A,-278.9428571,-99.83809524
B,-279.3857143,-100.0095238
B,-279.8285714,-100.1809524
A,-280.2714286,-100.352381
B,-280.7142857,-100.5238095
A,-281.1571429,-100.6952381
A,-281.6,-100.8666667
B,-282.0428571,-101.0380952
B,-282.4857143,-101.2095238
A,-282.9285714,-101.3809524
B,-283.3714286,-101.552381
A,-283.8142857,-101.7238095
A,-284.2571429,-101.8952381
B,-284.7,-102.0666667
B,-285.1428571,-102.2380952
A,-285.5857143,-102.4095238
B,-286.0285714,-102.5809524
A,-286.4714286,-102.752381
A,-286.9142857,-102.9238095
B,-287.3571429,-103.0952381
B,-287.8,-103.2666667
A,-288.2428571,-103.4380952
B,-288.6857143,-103.6095238
A,-289.1285714,-103.7809524
A,-289.5714286,-103.952381
A,-290.0142857,-104.1238095
B,-290.4571429,-104.2952381
B,-290.9,-104.4666667
A,-291.3428571,-104.6380952
B,-291.7857143,-104.8095238
A,-292.2285714,-104.9809524
A,-292.6714286,-105.152381
B,-293.1142857,-105.3238095
B,-293.5571429,-105.4952381
A,-294,-105.6666667
B,-294.4428571,-105.8380952
A,-294.8857143,-106.0095238
A,-295.3285714,-106.1809524
B,-295.7714286,-106.352381
B,-296.2142857,-106.5238095
A,-296.6571429,-106.6952381
B,-297.1,-106.8666667
A,-297.5428571,-107.0380952
A,-297.9857143,-107.2095238
B,-298.4285714,-107.3809524
B,-298.8714286,-107.552381
A,-299.3142857,-107.7238095
B,-299.7571429,-107.8952381
A,-300.2,-108.0666667
A,-300.6428571,-108.2380952
A,-301.0857143,-108.4095238
B,-301.5285714,-108.5809524
B,-301.9714286,-108.752381
A,-302.4142857,-108.9238095
B,-302.8571429,-109.0952381
A,-303.3,-109.2666667
A,-303.7428571,-109.4380952
B,-304.1857143,-109.6095238
B,-304.6285714,-109.7809524
A,-305.0714286,-109.952381
B,-305.5142857,-110.1238095
A,-305.9571429,-110.2952381
A,-306.4,-110.4666667
B,-306.8428571,-110.6380952
B,-307.2857143,-110.8095238
A,-307.7285714,-110.9809524
B,-308.1714286,-111.152381
A,-308.6142857,-111.3238095
A,-309.0571429,-111.4952381
B,-309.5,-111.6666667
B,-309.9428571,-111.8380952
A,-310.3857143,-112.0095238
B,-310.8285714,-112.1809524
A,-311.2714286,-112.352381
A,-311.7142857,-112.5238095
A,-312.1571429,-112.6952381
B,-312.6,-112.8666667
B,-313.0428571,-113.0380952
A,-313.4857143,-113.2095238
B,-313.9285714,-113.3809524
A,-314.3714286,-113.552381
A,-314.8142857,-113.7238095
B,-315.2571429,-113.8952381
B,-315.7,-114.0666667
A,-316.1428571,-114.2380952
B,-316.5857143,-114.4095238
A,-317.0285714,-114.5809524
A,-317.4714286,-114.752381
B,-317.9142857,-114.9238095
B,-318.3571429,-115.0952381
A,-318.8,-115.2666667
B,-319.2428571,-115.4380952
A,-319.6857143,-115.6095238
A,-320.1285714,-115.7809524
B,-320.5714286,-115.952381
B,-321.0142857,-116.1238095
A,-321.4571429,-116.2952381
B,-321.9,-116.4666667
A,-322.3428571,-116.6380952
A,-322.7857143,-116.8095238
A,-323.2285714,-116.9809524
B,-323.6714286,-117.152381
B,-324.1142857,-117.3238095
A,-324.5571429,-117.4952381
B,-325,-117.6666667
A,-325.4428571,-117.8380952
A,-325.8857143,-118.0095238
B,-326.3285714,-118.1809524
B,-326.7714286,-118.352381
A,-327.2142857,-118.5238095
B,-327.6571429,-118.6952381
A,-328.1,-118.8666667
A,-328.5428571,-119.0380952
B,-328.9857143,-119.2095238
B,-329.4285714,-119.3809524
A,-329.8714286,-119.552381
B,-330.3142857,-119.7238095
A,-330.7571429,-119.8952381
A,-331.2,-120.0666667
B,-331.6428571,-120.2380952
B,-332.0857143,-120.4095238
A,-332.5285714,-120.5809524
B,-332.9714286,-120.752381
A,-333.4142857,-120.9238095
A,-333.8571429,-121.0952381
A,-334.3,-121.2666667
B,-334.7428571,-121.4380952
B,-335.1857143,-121.6095238
A,-335.6285714,-121.7809524
B,-336.0714286,-121.952381
A,-336.5142857,-122.1238095
A,-336.9571429,-122.2952381
B,-337.4,-122.4666667
B,-337.8428571,-122.6380952
A,-338.2857143,-122.8095238
B,-338.7285714,-122.9809524
A,-339.1714286,-123.152381
A,-339.6142857,-123.3238095
B,-340.0571429,-123.4952381
B,-340.5,-123.6666667
A,-340.9428571,-123.8380952
B,-341.3857143,-124.0095238
A,-341.8285714,-124.1809524
A,-342.2714286,-124.352381
B,-342.7142857,-124.5238095
B,-343.1571429,-124.6952381
A,-343.6,-124.8666667
B,-344.0428571,-125.0380952
A,-344.4857143,-125.2095238
A,-344.9285714,-125.3809524
A,-345.3714286,-125.552381
B,-345.8142857,-125.7238095
B,-346.2571429,-125.8952381
A,-346.7,-126.0666667
B,-347.1428571,-126.2380952
A,-347.5857143,-126.4095238
A,-348.0285714,-126.5809524
B,-348.4714286,-126.752381
B,-348.9142857,-126.9238095
A,-349.3571429,-127.0952381
B,-349.8,-127.2666667
A,-350.2428571,-127.4380952
A,-350.6857143,-127.6095238
B,-351.1285714,-127.7809524
B,-351.5714286,-127.952381
A,-352.0142857,-128.1238095
B,-352.4571429,-128.2952381
A,-352.9,-128.4666667
A,-353.3428571,-128.6380952
B,-353.7857143,-128.8095238
B,-354.2285714,-128.9809524
A,-354.6714286,-129.152381
B,-355.1142857,-129.3238095
A,-355.5571429,-129.4952381
A,-356,-129.6666667
A,-356.4428571,-129.8380952
B,-356.8857143,-130.0095238
B,-357.3285714,-130.1809524
A,-357.7714286,-130.352381
B,-358.2142857,-130.5238095
A,-358.6571429,-130.6952381
A,-359.1,-130.8666667
B,-359.5428571,-131.0380952
B,-359.9857143,-131.2095238
A,-360.4285714,-131.3809524
B,-360.8714286,-131.552381
A,-361.3142857,-131.7238095
A,-361.7571429,-131.8952381
B,-362.2,-132.0666667
B,-362.6428571,-132.2380952
A,-363.0857143,-132.4095238
B,-363.5285714,-132.5809524
A,-363.9714286,-132.752381
A,-364.4142857,-132.9238095
B,-364.8571429,-133.0952381
B,-365.3,-133.2666667
A,-365.7428571,-133.4380952
B,-366.1857143,-133.6095238
A,-366.6285714,-133.7809524
A,-367.0714286,-133.952381
A,-367.5142857,-134.1238095
B,-367.9571429,-134.2952381
B,-368.4,-134.4666667
A,-368.8428571,-134.6380952
B,-369.2857143,-134.8095238
A,-369.7285714,-134.9809524
A,-370.1714286,-135.152381
B,-370.6142857,-135.3238095
B,-371.0571429,-135.4952381
A,-371.5,-135.6666667
B,-371.9428571,-135.8380952
A,-372.3857143,-136.0095238
A,-372.8285714,-136.1809524
B,-373.2714286,-136.352381
B,-373.7142857,-136.5238095
A,-374.1571429,-136.6952381
B,-374.6,-136.8666667
A,-375.0428571,-137.0380952
A,-375.4857143,-137.2095238
B,-375.9285714,-137.3809524
B,-376.3714286,-137.552381
A,-376.8142857,-137.7238095
B,-377.2571429,-137.8952381
A,-377.7,-138.0666667
A,-378.1428571,-138.2380952
A,-378.5857143,-138.4095238
B,-379.0285714,-138.5809524
B,-379.4714286,-138.752381
A,-379.9142857,-138.9238095
B,-380.3571429,-139.0952381
A,-380.8,-139.2666667
A,-381.2428571,-139.4380952
B,-381.6857143,-139.6095238
B,-382.1285714,-139.7809524
A,-382.5714286,-139.952381
B,-383.0142857,-140.1238095
A,-383.4571429,-140.2952381
A,-383.9,-140.4666667
B,-384.3428571,-140.6380952
B,-384.7857143,-140.8095238
A,-385.2285714,-140.9809524
B,-385.6714286,-141.152381
A,-386.1142857,-141.3238095
A,-386.5571429,-141.4952381
B,-387,-141.6666667
B,-387.4428571,-141.8380952
A,-387.8857143,-142.0095238
B,-388.3285714,-142.1809524
A,-388.7714286,-142.352381
A,-389.2142857,-142.5238095
A,-389.6571429,-142.6952381
