"","ArtID","Artist_No","Category_No","Location_No","Title","Date.Acquired","Condition","Appraised.Value"
"58",58,45,3,3,"The Gathering","7/16/05","Excellent",250
"59",59,46,2,1,"Dwelling","7/16/04","Excellent",16000
"60",60,28,3,3,"Story Sticks","8/16/04","Excellent",650
"61",61,47,2,1,"Untitled Mural","3/7/09","Excellent",3520
"62",62,48,2,1,"Cowboy and Saddle","8/16/04","Excellent",18000
"63",63,13,1,4,"Asleep in the garden","1/10/09","Excellent",110000
"64",64,49,2,1,"Spirit Columns","5/16/05","Excellent",7000
"65",65,22,3,1,"Moonlite ","8/16/04","Excellent",1300
"66",66,50,2,2,"Untitled (still life)","12/13/08","Excellent",19500
"67",67,51,2,1,"Owl in Flight","5/16/05","Excellent",7000
"68",68,1,2,1,"Moonlight","4/9/05","Fair",9750
"69",69,1,2,1,"Renaissance","5/15/05","Excellent",5500
"70",70,52,4,1,"Beginnings","1/10/10","Fair",27500
"71",71,53,3,4,"Ride the Rapids","8/15/09","Good",300
"72",72,54,2,1,"Funnel","7/18/04","Excellent",4500
"73",73,55,3,1,"Dancing in the Light","5/15/04","Fair",1000
"74",74,56,2,1,"Storm on the Rise","5/23/05","Good",8000
"75",75,17,2,1,"Western Boots and Spurs","1/10/04","Fair",6000
"76",76,53,3,1,"Ride the Bronc","8/15/09","Poor",1500
"77",77,17,2,1,"Bull Riding","1/10/04","Poor",5200
"78",78,9,3,1,"Chuckwagon","10/11/03","Excellent",32000
"79",79,57,2,1,"Carrying the Mail","9/3/05","Excellent",8000
"80",80,58,2,1,"The Dust Behind","7/16/05","Excellent",18000
"81",81,59,3,3,"Coming Under Fire","4/17/04","Poor",650
"82",82,34,2,5,"Spring Flowers","8/16/05","Excellent",20000
"83",83,4,1,2,"Untitled","12/17/05","Good",2500
"84",84,60,3,1,"Crossing the Platt River","7/18/04","Excellent",2200
"85",85,61,2,5,"Traces","9/3/05","Excellent",20000
"86",86,62,2,1,"Untitled (desert landscape)","7/12/06","Excellent",18000
"87",87,63,2,5,"Three Woman","11/7/09","Excellent",20000
"88",88,64,2,1,"Lessons","8/16/04","Excellent",3700
"89",89,65,2,1,"Life Lessons","5/16/05","Good",4125
"90",90,66,2,1,"Trappers","4/18/04","Good",6000
"91",91,67,1,4,"Off the Grid","2/7/04","Excellent",8000
"92",92,68,2,1,"Stone Palette","5/21/05","Excellent",11500
"93",93,22,3,1,"Dressing Up","9/3/04","Excellent",1300
"94",94,57,2,1,"Antelopes ","9/3/05","Excellent",12500
"95",95,69,1,5,"Life is Sweet","8/16/07","Excellent",25000
"96",96,19,2,5,"The Spirit","7/16/05","Excellent",20000
"97",97,70,2,1,"Ceremonial Sticks","1/23/04","Excellent",15000
"98",98,71,3,1,"Untitled (Sea)","11/8/08","Excellent",2800
"99",99,72,3,3,"Sweet Project","7/16/05","Excellent",592
"100",100,73,4,1,"Watch that Rattler","7/17/04","Good",900
"101",101,37,3,1,"Hungary cowboys","8/16/04","Excellent",750
"102",102,74,2,1,"The Red Door","7/16/05","Excellent",10000
"103",103,33,2,1,"Crying Hats","5/11/04","Excellent",10000
"104",104,32,2,1,"Trail End","5/10/03","Excellent",8000
"105",105,75,3,1,"Untitled ","7/14/07","Poor",1800
"106",106,76,2,1,"Meteor Show","9/12/09","Excellent",10000
"107",107,77,2,1,"Horse Corral","8/16/04","Excellent",12500
"108",108,78,3,1,"Striking it Rich","8/16/04","Excellent",1750
"109",109,29,3,4,"Untitled Mural","2/7/09","Excellent",400
"110",110,79,2,1,"Friends","7/18/04","Excellent",16000
"111",111,57,2,1,"Three Sisters","9/3/05","Excellent",6500
"112",112,80,4,1,"Untitled (man and crucifix)","10/13/07","Excellent",3200
"113",113,81,2,1,"Dark Canyon","8/16/04","Excellent",7500
"114",114,1,2,1,"Shadow House","5/5/05","Good",5500
"115",115,1,2,1,"Storytelling at the Campfire","3/19/05","Excellent",18000
